id,group_id,course_code,is_mandatory,notes
425,18,COPC04H3,1,
426,18,COPC05H3,1,
427,19,BIOA11H3,1,
428,19,BIOA12H3,1,
429,19,MATA02H3,1,
430,19,BIOA01H3,1,
431,19,BIOA02H3,1,
432,19,CHMA10H3,1,
433,19,CHMA11H3,1,
434,19,CHMA12H3,1,
435,19,MATA29H3,1,
436,19,MATA30H3,1,
437,19,STAB22H3,1,
438,19,PSYB07H3,1,
439,19,BIOB10H3,1,
440,19,BIOB11H3,1,
441,19,BIOB34H3,1,
442,19,BIOB38H3,1,
443,19,BIOB50H3,1,
444,19,BIOB51H3,1,
445,19,BIOB90H3,1,
446,19,BIOB12H3,1,
447,19,BIOB32H3,1,
448,19,BIOB33H3,1,
449,19,BIOB52H3,1,
450,19,BIOC90H3,1,
451,19,BIOD95H3,1,
452,19,BIOD98Y3,1,
453,19,BIOD99Y3,1,
454,19,COPB50H3,1,
455,19,COPB54H3,1,
456,19,COPB51H3,1,
457,19,COPB55H3,1,
458,19,COPB52H3,1,
459,19,COPC98H3,1,
460,19,COPC99H3,1,
461,19,COPC01H3,1,
462,19,COPC02H3,1,
463,19,COPC03H3,1,
464,19,COPC04H3,1,
465,19,COPC05H3,1,
466,20,CHMA10H3,1,
467,20,CHMA11H3,1,
468,20,MATA30H3,1,
469,20,MATA36H3,1,
470,20,PHYA10H3,1,
471,20,PHYA21H3,1,
472,20,CHMB16H3,1,
473,20,COPB50H3,1,
474,20,COPB54H3,1,
475,20,COPB51H3,1,
476,20,COPB55H3,1,
477,20,COPB52H3,1,
478,20,COPC98H3,1,
479,20,COPC99H3,1,
480,20,COPC01H3,1,
481,20,COPC02H3,1,
482,20,COPC03H3,1,
483,20,COPC04H3,1,
484,20,COPC05H3,1,
485,21,COPB50H3,1,
486,21,COPB58H3,1,
487,21,COPB51H3,1,
488,21,COPB59H3,1,
489,21,COPB52H3,1,
490,21,COPC98H3,1,
491,21,COPC99H3,1,
492,21,COPC01H3,1,
493,21,COPC02H3,1,
494,21,COPC03H3,1,
495,21,COPC04H3,1,
496,21,COPC05H3,1,
497,22,COPB50H3,1,
498,22,COPB56H3,1,
499,22,COPB51H3,1,
500,22,COPB57H3,1,
501,22,COPB52H3,1,
502,22,COPC98H3,1,
503,22,COPC99H3,1,
504,22,COPC01H3,1,
505,22,COPC02H3,1,
506,22,COPC03H3,1,
507,22,COPC04H3,1,
508,22,COPC05H3,1,
509,23,BIOA11H3,1,
510,23,BIOA12H3,1,
511,23,MATA02H3,1,
512,23,BIOA01H3,1,
513,23,BIOA02H3,1,
514,23,CHMA10H3,1,
515,23,CHMA11H3,1,
516,23,CHMA12H3,1,
517,23,MATA29H3,1,
518,23,MATA30H3,1,
519,23,STAB22H3,1,
520,23,PSYB07H3,1,
521,23,BIOB10H3,1,
522,23,BIOB11H3,1,
523,23,BIOB34H3,1,
524,23,BIOB38H3,1,
525,23,BIOB50H3,1,
526,23,BIOB51H3,1,
527,23,BIOB90H3,1,
528,23,BIOB52H3,1,
529,23,BIOC16H3,1,
530,23,BIOC50H3,1,
531,23,BIOC52H3,1,
532,23,BIOC61H3,1,
533,23,BIOC63H3,1,
534,23,BIOC30H3,1,
535,23,BIOC37H3,1,
536,23,BIOC40H3,1,
537,23,BIOC51H3,1,
538,23,BIOC54H3,1,
539,23,BIOC58H3,1,
540,23,BIOC59H3,1,
541,23,BIOC60H3,1,
542,23,BIOC62H3,1,
543,23,BIOC65H3,1,
544,23,BIOC67H3,1,
545,23,BIOC90H3,1,
