course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
MGHB02,MGH,B02,Managing People and Groups in Organizations,"An introduction to micro- and macro-organizational behaviour theories from both conceptual and applied perspectives. Students will develop an understanding of the behaviour of individuals and groups in different organizational settings. Topics covered include: individual differences, motivation and job design, leadership, organizational design and culture, group dynamics and inter-group relations.",0.5,MGTA38H3or (MGTA35H3) or (MGTA36H3),,"MGIB02H3, MGT262H5, RSM260H1, PSY332H",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHB02H3
MGHC02,MGH,C02,Management Skills,"This course will help students develop the critical skills required by today's managers. Topics covered include self-awareness, managing stress and conflict, using power and influence, negotiation, goal setting, and problem-solving. These skills are important for leadership and will enable students to behave more effectively in their working and personal lives. This course includes work-integrated-learning components, and satisfies the WIL requirement of the BBA degree.",0.5,[MGHB02H3or MGIB02H3] and [MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3)],,MGIC02H3,Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/MGHC02H3
MGHC23,MGH,C23,Diversity in the Workplace,"Examines the nature and effects of diversity in the workplace. Drawing on theories and research from psychology, the course will examine topics like stereotyping, harassment, discrimination, organizational climate for diversity, conflict resolution within diverse teams, and marketing to a diverse clientele.",0.5,MGHB02H3or MGIB02H3,,,Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/MGHC23H3
MGHC50,MGH,C50,Special Topics in Human Resources,"This course covers special topics in the area of organizational behaviour. The specific topics will vary from year to year but could include topics in organizational culture, motivation, leadership, communication, organizational design, work attitudes, or equity, diversity and inclusion at work. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",0.5,7.5 credits including MGHB02H3Recommended Preparation: [MGHA12H3or MGIA12H3] and [MGTA35H3or MGTA36H3or MGTA38H3],,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHC50H3
MGHC51,MGH,C51,Special Topics in Organizational Behaviour,"This course covers special topics in the area of organizational behaviour. The specific topics will vary from year to year but could include topics in organizational culture, motivation, leadership, communication, organizational design, work attitudes, or equity, diversity and inclusion at work. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",0.5,7.5 credits including MGHB02H3or MGIB02H3Recommended Preparation: MGTA35H3 or MGTA36H3 or [MGTA38H3and MGHA12H3] or MGIA12H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHC51H3
MGHC52,MGH,C52,Business Negotiation,"An introduction to the theory and practice of negotiation in business. This course develops approaches and tactics to use in different forums of negotiation, and an introduction to traditional and emerging procedures for resolving disputes. To gain practical experience, students will participate in exercises which simulate negotiations.",0.5,MGHB02H3or MGIB02H3,,,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGHC52H3
MGHC53,MGH,C53,Introduction to Industrial Relations,"An overview of the industrial system and process. The course will introduce students to: industrial relations theory, the roles of unions and management, law, strikes, grievance arbitration, occupational health and safety, and the history of the industrial relations system. Students will participate in collective bargaining simulations. This course includes work-integrated-learning components, and satisfies the WIL requirement of the BBA degree.",0.5,Completion of at least 10.0 credits including [[MGEA01H3and MGEA05H3] or [MGEA02H3and MGEA06H3]].,,,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGHC53H3
MGHC55,MGH,C55,International Management OBHR Field Course,"This course examines the principles and challenges of Organizational Behaviour and Human Resource Management principles (e.g., Leadership, Work Team Effectiveness, Recruitment & Selection, Health & Safety, etc.) in international contexts, focusing on leading theories and best practices. Through interactions with host nation University faculty and business leaders, industry tours of local businesses, case examples, skill-building exercises, and academic research, students will learn about OBHR topics from the perspective of the host country.",0.5,The completion of 7.5 credits including [MGHA12H3or MGIA12H3] and [MGHB02H3or MGIB02H3]Recommended Preparation: [MGTA35H3or MGTA36H3or MGTA38H3],,,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGHC55H3
MGHD14,MGH,D14,Leadership,"This advanced leadership seminar builds on Management Skills and International Leadership Skills, focusing on leadership theories and practices. Through case studies, skill-building exercises, and world-class research, students will learn critical leadership theories and concepts while gaining an understanding of how effective leaders initiate and sustain change at the individual and corporate levels, allowing each student to harness their full leadership potential.",0.5,[MGHC02H3or MGIC02H3],,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD14H3
MGHD24,MGH,D24,Occupational Health and Safety Management,"Occupational health and safety is a management function, however, many managers are not prepared for this role when they arrive in their first jobs. This course will consider the physical, psychological, social, and legal environments relevant to health and safety in the workplace.",0.5,MGHA12H3/(MGHB12H3) or MGIA12H3/(MGIB12H3),,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHD24H3
